,Energy [MeV],norm_phi_n_mu_WS,norm_phi_n_mu_MK1,norm_phi_n_mu_avg,norm_phi_n_alpha_WS,norm_phi_n_alpha_MK1,norm_phi_n_alpha_avg
174,1.84981046,0.02060380445680905,0.0730983740896351,0.04685108927322208,0.008926656734333743,0.005893397315960685,0.007410026754849251
175,1.896641806,0.01984057816344474,0.042802495834049964,0.03132153673512351,0.009089041982237103,0.0069582173915236365,0.008023629423256528
176,1.944658057,0.019827783018822005,0.045203215898845295,0.03251549945883365,0.010133989844159013,0.007192610520729711,0.008663299925329751
177,1.993889216,0.026365163409359654,0.03712644133183376,0.0317458023705967,0.011321729321194142,0.008356463271026588,0.009839096296110366
178,2.070078125,0.024772411427708797,0.04839136252405932,0.03658188697588406,0.012808624312186285,0.008906639695059816,0.010857632245159827
179,2.176209971,0.025898418696290403,0.04171876620815281,0.033808592452221606,0.013728674345826716,0.010521178702935003,0.01212492652438086
180,2.250011544,0.02708659302772004,0.049003356580111845,0.038044974581694854,0.01726606208025749,0.012901153364038031,0.015083607499926677
181,2.287791087,0.02503687260846471,0.04576203946020531,0.03539945603433501,0.017046044641750104,0.013261606871536867,0.015153825538092063
182,2.326198888,0.033171373435889974,0.04401092938704904,0.03859115119652658,0.023777372298356976,0.01728917772571818,0.020533275226980504
183,2.355454667,0.02557977525279199,0.0630188023058225,0.04429928856703401,0.02611247877605619,0.01982647581983797,0.022969477085673838
184,2.375204004,0.027935785679148766,0.07311210519498602,0.05052394522655916,0.020256272269234522,0.013443827960135083,0.01685004990417657
185,2.405082135,0.024576685818673717,0.03628374546135823,0.03043021564001597,0.016811838320024777,0.012996240147116641,0.0149040390256776
186,2.445464796,0.024046162143157673,0.03958971855099238,0.03181794034707503,0.01246707376441006,0.008386145665864658,0.010426609715137359
187,2.528394874,0.02033325392669658,0.03749654176841999,0.028914897649804365,0.007442913760629622,0.0053538713984910575,0.006398392579560339
188,2.658029164,0.01713641919995126,0.03314596137365782,0.025141190286804543,0.006288499850334975,0.00481852688957178,0.0055535135580626754
189,2.794311683,0.012151421835500375,0.029109478908477225,0.020630450193053856,0.004878328027231742,0.0036502352482917348,0.004264281637761738
190,2.937577011,0.011797478626169708,0.02754651118829851,0.01967199490723411,0.0038647364673293325,0.003039491378971715,0.00345211375294222
191,3.049826715,0.010475921744294906,0.06105285394878574,0.035764387682596585,0.0030739995665622598,0.0021467609840908615,0.00261038011138282
192,3.127035734,0.009673679028063195,0.024605398705047226,0.017139538706659373,0.002253865833181425,0.0016595934429446465,0.001956729797958874
193,3.206199545,0.00841899190026864,0.024817282231883044,0.016618136910127968,0.0014678967836981587,0.0010715995532336712,0.001269748168465915
194,3.28736326,0.005533984096421398,0.022437554406445487,0.013985769251433444,0.0010694254701867053,0.0007761822464366168,0.00092280370621408
195,3.412978447,0.006301507710634541,0.017006073698185298,0.011653790850909526,0.0008424125861466362,0.0006364033742753957,0.0007394078337114092
196,3.587963889,0.005793890809139077,0.017444214305469004,0.011619052557304041,0.000733496791332952,0.0004958040423577964,0.0006146502774905714
197,3.771921162,0.004160201479842064,0.01466190241650655,0.009411051948174307,0.0006598645340403326,0.0005184297115486742,0.0005891469902360594
198,3.96531563,0.004849050818181654,0.014741523614855345,0.009795287342611867,0.0007747658160568671,0.0006001706350926723,0.000687468351668137
199,4.168622173,0.005385012617693045,0.014068170145003927,0.009726591261404778,0.0007142072071879275,0.0005484670725998175,0.0006313371398938726
200,4.382350446,0.0034608437154640096,0.01105145003732091,0.007256146762298433,0.00039381081482774686,0.0002601432756343284,0.0003269770452310376
201,4.549809581,0.0036190325566066808,0.01151232179446237,0.007565677285429233,0.00041566948381701956,0.00030783639953832167,0.00036175294167767064
202,4.664990529,0.002980595761891203,0.012685921360849135,0.007833258561370168,0.0004149875520572574,0.0003192128667234857,0.00036710020939037156
203,4.783086269,0.0039059121975456054,0.010987664040395338,0.007446788118970471,0.000366764867146493,0.00026321624348691,0.0003149905553167015
204,4.904166951,0.0032968692056258675,0.011413957469083724,0.007355413337354795,0.00026375386746086327,0.00024407896630760522,0.00025391631493011955
205,5.091563742,0.002576643967310269,0.013942831043123568,0.008259737505216918,0.00020893247220393925,0.00018580323215759126,0.00019736785218076527
206,5.352617102,0.0025380236884353174,0.0074717244364549355,0.005004873969032877,0.00022086429450712464,0.00017555692516262487,0.00019821070324712345
207,5.627051478,0.0019982843668593145,0.005635088842526491,0.003816686604692902,0.00011159147956172296,9.765665058307114e-05,0.00010462406507239705
208,5.842068617,0.0017714658417200169,0.00583244039634326,0.0038019531190316386,0.00010475159401914981,8.176726966368666e-05,9.325943184141824e-05
209,5.989961984,0.0018252349562824872,0.005986767210841785,0.0039060010835621356,9.077252935032985e-05,4.264284158769045e-05,6.670776894199402e-05
210,6.141600256,0.001731610908673246,0.006439075705287974,0.004085343388392616,9.573986835524842e-05,0.000101045814467284,9.839275999925971e-05
211,6.297073091,0.0018496552019773914,0.00636106988455472,0.004105362543266056,7.640994364313311e-05,5.178548752531862e-05,6.409771558422586e-05
212,6.456485607,0.0016037755878791971,0.004529953566115027,0.0030668645769971127,6.525361096495355e-05,7.05758562376363e-05,6.79146561597841e-05
213,6.564983072,0.0015120364959259407,0.0068673800839314635,0.004189708289928702,6.426322739496014e-05,7.123125754801641e-05,6.774716630982958e-05
214,6.619932323,0.0012619363148132895,0.005566270650830641,0.0034141034828219646,5.838488690543673e-05,5.5011589579961945e-05,5.669816271322628e-05
215,6.675341963,0.0008513667212107737,0.006239020597123527,0.0035451936591671504,3.254859469436892e-05,2.4466911344059333e-05,2.8507753019214126e-05
216,6.787514681,0.0010404390018880314,0.013082389383048468,0.007061414266132914,3.677664236937214e-05,2.3569599112296934e-05,3.017304707616882e-05
217,6.959341432,0.0016226529636949704,0.004208527097884166,0.0029155899589436898,4.03559737288659e-05,5.1156708357918074e-05,4.5756341043391987e-05
218,7.135517598,0.0019685010662628035,0.005468747776746777,0.00371862442150479,3.24873419224661e-05,2.837691831308129e-06,1.7662488848086503e-05
