energy,xsection,Min_Cross_Section,Max_Cross_Section
150000000.0,0.000381659,0.0,0.00239435
150250200.0,0.0003807088,0.0,0.0023919027938
152370000.0,0.0003726891,0.0,0.00237120899
154519600.0,0.0003646115,0.0,0.002350468129
156699600.0,0.0003564767,0.0,0.00232966829
158910400.0,0.0003482855,0.0,0.0023088042616
160000000.0,0.00034427,0.0,0.00229858
161152300.0,0.0003404893,0.0,0.00227449750615
163425900.0,0.0003330665,0.0,0.0022271229929499998
165731500.0,0.0003255883,0.0,0.0021793312925
168069700.0,0.0003180553,0.0,0.0021311109893
170440900.0,0.0003104683,0.0,0.0020834816331000003
172845500.0,0.0003028279,0.0,0.0020399193922499997
175284000.0,0.0002951349,0.0,0.001995939222
177757000.0,0.0002873902,0.0,0.0019515212705
180000000.0,0.000280415,0.0,0.00191139
180264800.0,0.0002796721,0.0,0.001910121608
182808000.0,0.0002725629,0.0,0.001897973616
185387100.0,0.0002654014,0.0,0.00188578422675
188002600.0,0.0002581883,0.0,0.0018735459516
190655000.0,0.0002509243,0.0,0.0018713486075
193344800.0,0.0002436101,0.0,0.0019003749088
196072500.0,0.0002362464,0.0,0.00192991174875
198838700.0,0.0002288341,0.0,0.00195999053975
200000000.0,0.000225739,0.0,0.00197264
