Incident energy [eV];Computed function [b]
1.473747E+05;3.452055E-08
1.477719E+05;3.615540E-08
1.479705E+05;3.697283E-08
1.481691E+05;3.779025E-08
1.485663E+05;3.942511E-08
1.489635E+05;4.105997E-08
1.493607E+05;4.269483E-08
1.497579E+05;4.432969E-08
1.499565E+05;4.514712E-08
1.501551E+05;4.596455E-08
1.502544E+05;4.637326E-08
1.503537E+05;4.678198E-08
1.505523E+05;4.759941E-08
1.507509E+05;4.841683E-08
1.509495E+05;4.923426E-08
1.511481E+05;5.005169E-08
1.513467E+05;5.086912E-08
1.515453E+05;5.168655E-08
1.517439E+05;5.250397E-08
1.518432E+05;5.291269E-08
1.519425E+05;5.332140E-08
1.520418E+05;5.373012E-08
1.521411E+05;5.413883E-08
1.522495E+05;5.458500E-08
1.523578E+05;5.503076E-08
1.524662E+05;5.547693E-08
1.525745E+05;5.592269E-08
1.526829E+05;5.636885E-08
1.527912E+05;5.681462E-08
1.528454E+05;5.703770E-08
1.528995E+05;5.726037E-08
1.529537E+05;5.748346E-08
1.530078E+05;5.770613E-08
1.530564E+05;5.790616E-08
1.531050E+05;5.810620E-08
1.531536E+05;5.830624E-08
1.532022E+05;5.850627E-08
1.532508E+05;5.870631E-08
1.532994E+05;5.890634E-08
1.533480E+05;5.910638E-08
1.533966E+05;5.930641E-08
1.534452E+05;5.950644E-08
1.534938E+05;5.970648E-08
1.535910E+05;6.010656E-08
1.536882E+05;6.050663E-08
1.537368E+05;6.070666E-08
1.537853E+05;6.090629E-08
1.538427E+05;6.114254E-08
1.539000E+05;6.137839E-08
1.539437E+05;6.155825E-08
1.539874E+05;6.173812E-08
1.540311E+05;6.191799E-08
1.540747E+05;6.209745E-08
1.542494E+05;6.281650E-08
1.543368E+05;6.317623E-08
1.544241E+05;6.353556E-08
1.544678E+05;6.371542E-08
1.545115E+05;6.389529E-08
1.545552E+05;6.407516E-08
1.545988E+05;6.425462E-08
1.546887E+05;6.462464E-08
1.547786E+05;6.499467E-08
1.548685E+05;6.536469E-08
1.549584E+05;6.573471E-08
1.550483E+05;6.610474E-08
1.551382E+05;6.647476E-08
1.552281E+05;6.684479E-08
1.553179E+05;6.721440E-08
1.554078E+05;6.758442E-08
1.554977E+05;6.795445E-08
1.555876E+05;6.832447E-08
1.556775E+05;6.869450E-08
1.557674E+05;6.906452E-08
1.558573E+05;6.943454E-08
1.560371E+05;7.017460E-08
1.562169E+05;7.091464E-08
1.563967E+05;7.165469E-08
1.565765E+05;7.239474E-08
1.567563E+05;7.313479E-08
1.569661E+05;7.399831E-08
1.571758E+05;7.486143E-08
1.573856E+05;7.572496E-08
1.575953E+05;7.658807E-08
1.578051E+05;7.745160E-08
1.580148E+05;7.831472E-08
1.582246E+05;7.917825E-08
1.584343E+05;8.004136E-08
1.586741E+05;8.102837E-08
1.589138E+05;8.201496E-08
1.591535E+05;8.300156E-08
1.593932E+05;8.398815E-08
1.595730E+05;8.472820E-08
1.597528E+05;8.546825E-08
1.599326E+05;8.620829E-08
1.601124E+05;8.694834E-08
1.602922E+05;8.768839E-08
1.603821E+05;8.805841E-08
1.604720E+05;8.842844E-08
1.605619E+05;8.879847E-08
1.606518E+05;8.916849E-08
1.607417E+05;8.953852E-08
1.608315E+05;8.990813E-08
1.609214E+05;9.027815E-08
1.610113E+05;9.064818E-08
1.611012E+05;9.101820E-08
1.611911E+05;9.138823E-08
1.612810E+05;9.175825E-08
1.613260E+05;9.194347E-08
1.613709E+05;9.212828E-08
1.614159E+05;9.231349E-08
